标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID
【海南生活垃圾迎来全焚烧时代！全省填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营。至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。（via：新海南）,敏感,原创,2020/12/28 11:01, ,普通,海南,海口,男,【海南生活垃圾迎来全焚烧时代！全省填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营。至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。（via：新海南）,3187,425,0,0,0, ,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx1.sinaimg.cn/bmiddle/c5131dfdgy1gm3e0iwyskj20zk0qo7hg.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/c5131dfdgy1gm3e0jb977j20go0citad.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/c5131dfdgy1gm3e0i8q0yj20zk0qo113.jpg""]""",e68e48901b3d45653a4c38440864abed,6c020efd4f20b64a2a899e1271d07e19,,,,
#海南新闻# 【#海南#生活垃圾迎全焚烧时代 填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。（记者 党朝峰/文 李庆芳/图）http://t.cn/A6qj9omJ,敏感,原创,2020/12/28 11:08, ,蓝V,海南, ,女,#海南新闻# 【#海南#生活垃圾迎全焚烧时代 填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。（记者 党朝峰/文 李庆芳/图）http://t.cn/A6qj9omJ,513,4562,0,0,0,海南新闻;海南,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx2.sinaimg.cn/bmiddle/00863lbQgy1gm3e3u1j4xj31400u07il.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/00863lbQgy1gm3e3tu4wij31400u0gu7.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/00863lbQgy1gm3e3xzo6pj31m20u0u10.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/00863lbQgy1gm3e3yc9cxj31mi0u0u0z.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/00863lbQgy1gm3e3yrhvtj31e20u0u0z.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/00863lbQgy1gm3e3yxwbrg30f208h4qp.gif""]""",cd7c6070fc65af8e42a60d6d98446310,d4c423fff75feb6736d8cc89d2f2f878,,,,
【#海南生活垃圾迎来全焚烧时代# 全省填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营。#南国新闻速递# 至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。http://t.cn/A6qj9omJ,敏感,原创,2020/12/28 11:10, ,蓝V,海南,海口,男,【#海南生活垃圾迎来全焚烧时代# 全省填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营。#南国新闻速递# 至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。http://t.cn/A6qj9omJ,6540719,68816,0,0,0,海南生活垃圾迎来全焚烧时代;南国新闻速递,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx2.sinaimg.cn/bmiddle/0028MQwhgy1gm3e9f6nf5j60u00miwiy02.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/0028MQwhgy1gm3e9fi38vj60u00mijts02.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/0028MQwhgy1gm3e9flotsj60go0ci0tb02.jpg""]""",dbe29a6441f419f4ac440ac5bd0edfec,08c96b5bd2051a0f9988f0044d377e12,,,,
【 海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。详见链接：http://t.cn/A6qj9QSA,敏感,原创,2020/12/28 11:11, ,蓝V,海南,海口,男,【 海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。详见链接：http://t.cn/A6qj9QSA,8111,27555,0,0,1, ,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx3.sinaimg.cn/bmiddle/71cdb7bcgy1gm3eb8jgbyj20rf0h8kjl.jpg""]""",2025999ee2441aeba62f4b4456b1413a,adf448f648d83973d5edffacb0ed651d,,,,
【 海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。详见链接：http://t.cn/A6qj9QSA,敏感,原创,2020/12/28 11:11, ,蓝V,海南,海口,男,【 海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。详见链接：http://t.cn/A6qj9QSA,226122,35336,0,0,0, ,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx3.sinaimg.cn/bmiddle/7a218b17gy1gm3e47es8ej20rf0h8kjl.jpg""]""",fc6f4d695d8ced3c5b5550e88b6c47bd,a626952540fbf06a0094239724c2fe46,,,,
【#海南生活垃圾迎来全焚烧时代#】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。,敏感,原创,2020/12/28 11:23, ,橙V,海南,海口,男,【#海南生活垃圾迎来全焚烧时代#】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。,718849,20987,0,0,1,海南生活垃圾迎来全焚烧时代,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx2.sinaimg.cn/bmiddle/d9fb94fegy1gm3en7yjavj20c807oq40.jpg""]""",eb55c5c467c71ed4441bb659d6ce8169,b113062ba084c002c9eb8bf94e5a7456,,,,
【 海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。,敏感,原创,2020/12/28 11:30, ,蓝V,海南,海口,男,【 海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。,60108,28826,0,0,0, ,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx4.sinaimg.cn/bmiddle/7d5195f0gy1gm3eurp75tj20re0fxq8r.jpg""]""",429931cea9d3caf59668f1b4a8c7411e,841df080d00934ac3e6b8220505c3251,,,,
#海南新闻#?【#海南#生活垃圾迎全焚烧时代 填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。http://t.cn/A6qjNeJf,敏感,原创,2020/12/28 11:44, ,蓝V,海南,海口,男,#海南新闻#?【#海南#生活垃圾迎全焚烧时代 填埋场一律停止接收生活垃圾】12月28日，伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，海南全省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。http://t.cn/A6qjNeJf,3975056,66540,0,0,1,海南新闻;海南,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx3.sinaimg.cn/bmiddle/002zroe6gy1gm3f8p30nlj60u00miwiy02.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/002zroe6gy1gm3f8p4z5bj60u00mijts02.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/002zroe6gy1gm3f8p4vzkj60go0ci0tb02.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/002zroe6gy1gm3f8pkkx3g60f208h4qp02.gif""&&&&""http://wx1.sinaimg.cn/bmiddle/002zroe6gy1gm3f8p7c5aj60u00fi40402.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/002zroe6gy1gm3f8p7ig2j60u00hzmzs02.jpg""]""",7fa2b6056acf5f3d58474cc09efc8c15,9edfb4808a198dfecb6d22055235bd18,,,,
【#海南生活垃圾迎来全焚烧时代#】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。,敏感,原创,2020/12/28 11:46, ,蓝V,海南,海口,男,【#海南生活垃圾迎来全焚烧时代#】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。,1095078,83951,0,2,3,海南生活垃圾迎来全焚烧时代,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx1.sinaimg.cn/bmiddle/9614dfa3gy1gm3f5xc3xrj20u00mijts.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/9614dfa3gy1gm3f5xj6z5j20u00miwiy.jpg""]""",382c34ad3f9f80b2e72ebac297ab807c,64d1e8db08a86037088c1258af45f88f,,,,
?? 【海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。（记者刘海妮）,敏感,原创,2020/12/28 13:22, ,蓝V,山东, ,男,?? 【海南生活垃圾迎来全焚烧时代】12月28日伴随着海口生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目，琼海市生活垃圾焚烧发电二期项目同时点火运营，意味着海南省“十三五”期间规划建设的焚烧发电项目全部投入运营，至此，我省生活垃圾焚烧处理能力达11575吨/日，处理能力首次超过全省生活垃圾产生量。海南生活垃圾迎来全焚烧时代。（记者刘海妮）,1070993,57601,0,0,1, ,中性,"海南省,海南,文昌市,琼海市,海口,海口市","[http://wx3.sinaimg.cn/bmiddle/756e1da9ly1gm3i2rhwd3j20rf0h8dkn.jpg""]""",72b21432c3d0b42b32838ac03e27723f,49625d51b5ce6ef2a3e6e0c974463922,,,,
